school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3,course
GP,F,18.0,U,,A,4.0,4.0,at_home,teacher,course,mother,2.0,2.0,0.0,yes,no,no,,yes,yes,no,no,4.0,3.0,4.0,1.0,1.0,3.0,6.0,6.0,math
GP,F,17.0,U,,T,1.0,1.0,at_home,other,course,father,1.0,2.0,0.0,no,yes,no,,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,3.0,4.0,6.0,math
GP,F,15.0,U,,T,1.0,1.0,at_home,other,other,mother,1.0,2.0,3.0,yes,no,yes,no,yes,yes,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,10.0,10.0,math
GP,F,15.0,U,,T,4.0,2.0,health,services,home,mother,1.0,3.0,0.0,no,yes,yes,,yes,yes,yes,yes,3.0,2.0,,1.0,1.0,5.0,2.0,15.0,math
GP,F,16.0,U,,T,3.0,3.0,other,other,home,father,1.0,2.0,0.0,no,yes,yes,,yes,yes,no,no,4.0,3.0,2.0,1.0,2.0,5.0,4.0,10.0,math
GP,M,16.0,U,,T,4.0,3.0,services,other,reputation,mother,1.0,2.0,0.0,no,yes,yes,,yes,yes,yes,no,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15.0,math
GP,M,16.0,U,,T,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,no,no,no,,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,11.0,math
GP,F,17.0,U,,A,4.0,4.0,other,teacher,home,mother,2.0,2.0,0.0,,yes,no,,yes,yes,no,no,4.0,1.0,4.0,1.0,1.0,1.0,6.0,6.0,math
GP,M,15.0,U,LE3,A,3.0,2.0,services,other,home,mother,1.0,2.0,0.0,no,yes,yes,,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,19.0,math
GP,M,15.0,U,GT3,T,3.0,,other,other,home,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,15.0,math
GP,F,15.0,U,,T,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,no,yes,yes,,yes,yes,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,0.0,9.0,math
GP,F,15.0,U,GT3,T,2.0,1.0,services,other,reputation,father,3.0,3.0,0.0,no,yes,no,,yes,yes,yes,no,5.0,2.0,2.0,1.0,1.0,4.0,4.0,12.0,math
GP,M,15.0,U,LE3,T,4.0,4.0,health,services,course,father,1.0,1.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,3.0,5.0,2.0,14.0,math
GP,M,15.0,U,,T,4.0,3.0,teacher,other,course,mother,2.0,2.0,0.0,no,yes,yes,,yes,yes,yes,no,5.0,4.0,3.0,1.0,2.0,3.0,2.0,11.0,math
GP,M,15.0,U,,A,2.0,2.0,other,other,home,other,1.0,3.0,0.0,no,yes,no,,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,3.0,0.0,16.0,math
GP,F,16.0,U,GT3,T,4.0,4.0,health,other,home,mother,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,2.0,2.0,,14.0,math
GP,F,16.0,U,,T,4.0,4.0,services,services,reputation,mother,1.0,3.0,0.0,no,yes,yes,,yes,yes,yes,no,3.0,2.0,3.0,1.0,2.0,2.0,6.0,14.0,math
GP,F,16.0,U,,T,,3.0,other,other,reputation,mother,3.0,2.0,0.0,yes,yes,no,,yes,yes,,no,5.0,3.0,2.0,1.0,1.0,4.0,4.0,10.0,math
GP,M,17.0,U,,T,3.0,2.0,services,services,course,mother,1.0,1.0,3.0,no,yes,no,,yes,yes,yes,no,5.0,5.0,5.0,2.0,4.0,5.0,16.0,5.0,math
GP,M,16.0,U,,T,4.0,3.0,health,other,home,father,1.0,1.0,0.0,no,no,yes,,yes,yes,yes,no,3.0,1.0,3.0,1.0,3.0,5.0,4.0,10.0,math
GP,M,15.0,U,,T,4.0,3.0,teacher,other,reputation,mother,1.0,2.0,0.0,no,no,no,,yes,yes,yes,no,4.0,4.0,1.0,1.0,1.0,1.0,0.0,15.0,math
GP,M,15.0,U,,T,4.0,4.0,health,health,other,father,1.0,1.0,0.0,no,yes,yes,,yes,yes,yes,no,5.0,4.0,2.0,1.0,1.0,5.0,0.0,15.0,math
GP,M,16.0,U,,T,4.0,2.0,teacher,other,course,mother,1.0,2.0,0.0,no,no,no,,yes,yes,yes,no,4.0,5.0,1.0,1.0,3.0,5.0,2.0,16.0,math
GP,M,16.0,U,,T,2.0,2.0,other,other,reputation,mother,2.0,2.0,0.0,no,yes,no,,yes,yes,,no,5.0,4.0,4.0,2.0,4.0,5.0,0.0,12.0,math
GP,F,15.0,R,,T,2.0,4.0,services,health,course,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,8.0,math
GP,F,16.0,U,,T,2.0,2.0,services,services,home,mother,1.0,1.0,2.0,no,yes,yes,,no,yes,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,14.0,8.0,math
GP,M,15.0,U,,T,2.0,2.0,other,other,home,mother,1.0,1.0,0.0,no,yes,yes,,yes,yes,yes,no,4.0,2.0,2.0,1.0,2.0,5.0,2.0,11.0,math
GP,M,15.0,U,,T,4.0,2.0,health,services,other,mother,1.0,1.0,0.0,no,no,yes,no,yes,yes,yes,no,,2.0,4.0,2.0,4.0,1.0,4.0,15.0,math
GP,M,16.0,U,,A,3.0,4.0,services,other,home,mother,1.0,2.0,0.0,yes,yes,no,,,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,4.0,11.0,math
GP,M,16.0,U,GT3,T,4.0,4.0,teacher,teacher,home,mother,1.0,2.0,0.0,,yes,yes,,yes,yes,yes,yes,4.0,4.0,5.0,5.0,5.0,5.0,16.0,11.0,math
GP,M,15.0,U,,T,4.0,4.0,health,services,home,mother,1.0,2.0,0.0,no,yes,yes,,no,yes,yes,no,5.0,4.0,2.0,3.0,4.0,5.0,0.0,12.0,math
GP,M,15.0,U,GT3,T,4.0,4.0,services,services,reputation,mother,2.0,2.0,0.0,no,yes,,,yes,yes,yes,no,4.0,3.0,1.0,1.0,1.0,5.0,0.0,17.0,math
GP,M,15.0,R,GT3,T,,3.0,teacher,at_home,course,mother,1.0,2.0,0.0,no,yes,no,,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,5.0,0.0,16.0,math
GP,M,15.0,U,,T,3.0,3.0,other,other,course,mother,1.0,2.0,0.0,no,no,no,,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,2.0,0.0,12.0,math
GP,M,16.0,U,,T,3.0,2.0,other,other,home,mother,1.0,1.0,0.0,no,yes,yes,,no,yes,yes,no,5.0,4.0,3.0,1.0,1.0,5.0,0.0,15.0,math
GP,F,15.0,U,,T,2.0,3.0,other,other,other,father,2.0,1.0,0.0,no,yes,no,,yes,yes,no,no,3.0,5.0,,1.0,1.0,5.0,0.0,6.0,math
GP,M,15.0,U,,T,4.0,3.0,teacher,services,home,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3.0,1.0,1.0,4.0,2.0,18.0,math
GP,M,16.0,R,,A,4.0,4.0,other,teacher,reputation,mother,2.0,3.0,0.0,no,yes,no,,yes,yes,yes,yes,2.0,4.0,3.0,1.0,1.0,5.0,7.0,15.0,math
GP,F,15.0,R,,T,3.0,4.0,services,health,course,mother,1.0,3.0,0.0,yes,yes,yes,,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,11.0,
GP,F,15.0,R,,T,2.0,2.0,at_home,other,reputation,mother,1.0,1.0,0.0,yes,yes,yes,,yes,yes,no,no,4.0,3.0,1.0,1.0,1.0,2.0,8.0,13.0,math
GP,F,16.0,U,LE3,T,2.0,2.0,other,other,home,mother,2.0,2.0,1.0,no,yes,no,yes,no,yes,yes,yes,3.0,3.0,3.0,1.0,2.0,3.0,25.0,11.0,math
GP,M,15.0,U,,T,4.0,4.0,teacher,other,home,other,1.0,1.0,0.0,no,yes,no,,no,yes,yes,yes,5.0,4.0,3.0,2.0,4.0,5.0,8.0,12.0,math
GP,M,15.0,U,,T,4.0,4.0,services,teacher,course,father,1.0,2.0,0.0,,,no,,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,18.0,math
GP,M,15.0,U,GT3,T,2.0,2.0,services,services,course,father,1.0,1.0,0.0,yes,yes,no,,yes,yes,yes,no,5.0,4.0,1.0,1.0,1.0,1.0,0.0,11.0,math
GP,F,16.0,U,,T,2.0,2.0,other,at_home,course,father,2.0,2.0,1.0,yes,no,no,,yes,yes,yes,no,4.0,3.0,3.0,2.0,2.0,5.0,14.0,9.0,math
GP,F,15.0,U,,A,4.0,3.0,other,other,course,mother,1.0,2.0,0.0,yes,yes,yes,,yes,yes,yes,yes,,2.0,2.0,1.0,,5.0,8.0,6.0,math
GP,F,16.0,U,,A,3.0,3.0,other,services,home,mother,1.0,2.0,0.0,no,yes,no,,yes,yes,yes,no,2.0,3.0,5.0,1.0,4.0,3.0,12.0,11.0,math
GP,M,16.0,U,GT3,T,4.0,3.0,health,services,reputation,mother,1.0,4.0,0.0,no,no,no,,yes,,yes,no,4.0,2.0,2.0,1.0,1.0,2.0,4.0,20.0,math
GP,M,15.0,U,,T,4.0,2.0,teacher,other,home,mother,1.0,2.0,0.0,no,yes,yes,,yes,yes,no,no,4.0,3.0,3.0,2.0,2.0,5.0,2.0,,math
